Issue_ID,Commit,Commit_hash,Date
HDFS-3148,"('4f15b9dfed02845b07539f074ccee3074647dffd', datetime.datetime(2012, 4, 2, 23, 20, 34, tzinfo=<git.objects.util.tzoffset object at 0x0000018D056F4C50>))",4f15b9dfed02845b07539f074ccee3074647dffd,2012-04-02 23:20:34+00:00
HDFS-2731,"('1a75ec82885e45baf4d5cd56d6c738d8e68d8bc7', datetime.datetime(2012, 3, 12, 19, 41, 21, tzinfo=<git.objects.util.tzoffset object at 0x0000018D056BCF90>))",1a75ec82885e45baf4d5cd56d6c738d8e68d8bc7,2012-03-12 19:41:21+00:00
HDFS-1623,"('46a88ded0d84d8bce5eba4d3339110feb072ebc5', datetime.datetime(2012, 3, 11, 18, 11, 43, tzinfo=<git.objects.util.tzoffset object at 0x0000018D056BC710>))",46a88ded0d84d8bce5eba4d3339110feb072ebc5,2012-03-11 18:11:43+00:00
HDFS-1580,"('6f8d347b83edee1d72aef4735ec9d024baa7ba57', datetime.datetime(2012, 3, 7, 9, 15, 30, tzinfo=<git.objects.util.tzoffset object at 0x0000018D056B59D0>))",6f8d347b83edee1d72aef4735ec9d024baa7ba57,2012-03-07 09:15:30+00:00
HDFS-1972,"('31c91706f7d17da006ef2d6c541f8dd092fae077', datetime.datetime(2011, 12, 21, 4, 32, 40, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055C2090>))",31c91706f7d17da006ef2d6c541f8dd092fae077,2011-12-21 04:32:40+00:00
HDFS-2676,"('60dd76c6abcba6db77ff439f57e07fda76867b64', datetime.datetime(2011, 12, 14, 8, 20, 23, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055A9090>))",60dd76c6abcba6db77ff439f57e07fda76867b64,2011-12-14 08:20:23+00:00
HDFS-2178,"('3334306512b5dc932814fded31a89ba1ee97cd9f', datetime.datetime(2011, 12, 8, 19, 25, 28, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05590410>))",3334306512b5dc932814fded31a89ba1ee97cd9f,2011-12-08 19:25:28+00:00
HDFS-1975,"('f87a4b40bc99e76602a75906df31747cfdbff78a', datetime.datetime(2011, 11, 30, 21, 46, 22, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05574910>))",f87a4b40bc99e76602a75906df31747cfdbff78a,2011-11-30 21:46:22+00:00
HDFS-2316,"('e9c2307838a84ac80f5a55e0c6d705ecf3c7d4c0', datetime.datetime(2011, 11, 28, 6, 30, 49, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05574ED0>))",e9c2307838a84ac80f5a55e0c6d705ecf3c7d4c0,2011-11-28 06:30:49+00:00
HDFS-2246,"('2ab10e29d9cca5018064be46a40e3c74423615a8', datetime.datetime(2011, 11, 22, 2, 57, 4, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055659D0>))",2ab10e29d9cca5018064be46a40e3c74423615a8,2011-11-22 02:57:04+00:00
HDFS-1973,"('8b4f497af85b49519da2e05e8269db6c4e9d621f', datetime.datetime(2011, 10, 6, 23, 26, 14, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054D0F10>))",8b4f497af85b49519da2e05e8269db6c4e9d621f,2011-10-06 23:26:14+00:00
HDFS-2181,"('e4db38bdbe25752ebf7040f4ac99c91dc08ea71f', datetime.datetime(2011, 10, 6, 21, 58, 22, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054D1DD0>))",e4db38bdbe25752ebf7040f4ac99c91dc08ea71f,2011-10-06 21:58:22+00:00
HDFS-1073,"('93e0265af0b8538215b7e0776873d5e7938ed30f', datetime.datetime(2011, 10, 3, 22, 5, 42, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054C8D10>))",93e0265af0b8538215b7e0776873d5e7938ed30f,2011-10-03 22:05:42+00:00
HDFS-2318,"('ff4437289530bb32acbda52a85ba891f10e1b285', datetime.datetime(2011, 9, 16, 15, 5, 25, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05498710>))",ff4437289530bb32acbda52a85ba891f10e1b285,2011-09-16 15:05:25+00:00
HDFS-2284,"('61d0b7530c8978c095ab6f62d9d38e168bd829c6', datetime.datetime(2011, 9, 11, 1, 41, 42, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05483350>))",61d0b7530c8978c095ab6f62d9d38e168bd829c6,2011-09-11 01:41:42+00:00
HDFS-2018,"('bdc3720d5b67a1c8fc2dfb29be16e4155c0e7f15', datetime.datetime(2011, 9, 6, 20, 27, 38, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05479B50>))",bdc3720d5b67a1c8fc2dfb29be16e4155c0e7f15,2011-09-06 20:27:38+00:00
HDFS-395,"('73451ed2d9fb5eb228d80ad5f3be302a60496527', datetime.datetime(2011, 8, 26, 4, 46, 42, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05467410>))",73451ed2d9fb5eb228d80ad5f3be302a60496527,2011-08-26 04:46:42+00:00
HDFS-2096,"('d86f3183d93714ba078416af4f609d26376eadb0', datetime.datetime(2011, 8, 19, 17, 36, 23, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054555D0>))",d86f3183d93714ba078416af4f609d26376eadb0,2011-08-19 17:36:23+00:00
HDFS-1974,"('73f2092b7351b9cc13d0e12bc4ade6c470934ee8', datetime.datetime(2011, 8, 11, 0, 44, 5, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0543E510>))",73f2092b7351b9cc13d0e12bc4ade6c470934ee8,2011-08-11 00:44:05+00:00
HDFS-2108,"('7fac946ac983e31613fd62836c8ac9c4a579210a', datetime.datetime(2011, 8, 4, 22, 55, 48, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0543C910>))",7fac946ac983e31613fd62836c8ac9c4a579210a,2011-08-04 22:55:48+00:00
HDFS-2187,"('53190cfa1d43762e463bcb957929097742db08ba', datetime.datetime(2011, 8, 4, 20, 22, 13, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05433290>))",53190cfa1d43762e463bcb957929097742db08ba,2011-08-04 20:22:13+00:00
HDFS-2210,"('c4f7d2f015475673f3a68fe53f333f7cd61757c2', datetime.datetime(2011, 7, 27, 19, 8, 52, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05427190>))",c4f7d2f015475673f3a68fe53f333f7cd61757c2,2011-07-27 19:08:52+00:00
HDFS-2106,"('d58e3efe9269efe00c309ed0e9726d2f94bcd03a', datetime.datetime(2011, 6, 28, 23, 57, 2, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05404F10>))",d58e3efe9269efe00c309ed0e9726d2f94bcd03a,2011-06-28 23:57:02+00:00
HDFS-941,"('f7c0c44de21710ccd1661be28749ed625e419429', datetime.datetime(2011, 6, 15, 21, 35, 33, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0321F710>))",f7c0c44de21710ccd1661be28749ed625e419429,2011-06-15 21:35:33+00:00
HDFS-1150,"('1035138b4c03ed26ce5be9fc4dd6f6c1e0af909b', datetime.datetime(2010, 8, 2, 21, 10, 21, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0534FBD0>))",1035138b4c03ed26ce5be9fc4dd6f6c1e0af909b,2010-08-02 21:10:21+00:00
HDFS-1178,"('0d005c52ae369f9281d0c0e9d23fe50ee77b6e83', datetime.datetime(2010, 7, 26, 17, 54, 1, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0534DD50>))",0d005c52ae369f9281d0c0e9d23fe50ee77b6e83,2010-07-26 17:54:01+00:00
