Issue_ID,Commit
HDFS-2832,"('5241aa4cdd24b60f74f123e99bab788958186e09', datetime.datetime(2014, 1, 7, 0, 40, 59, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05D40350>))"
HDFS-4953,"('a99edd1f403486f084f719a0647a9b7204bbc439', datetime.datetime(2013, 8, 20, 18, 11, 47, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05BD3850>))"
HDFS-5085,"('613979c8fdacf25fd563395ecc399c4de94d3ee7', datetime.datetime(2013, 9, 10, 19, 29, 45, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05C05290>))"
HDFS-4990,"('abf09f090f77a7e54e331b7a07354e7926b60dc9', datetime.datetime(2013, 9, 18, 15, 12, 52, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05C1DA10>))"
HDFS-5096,"('40c97caf1936edf8fbdee3874e70ef0ef2ddda7d', datetime.datetime(2013, 10, 16, 22, 15, 47, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05C73610>))"
HDFS-5366,"('3c591aa442d342bdd4a0c4abe9a43c64d8ef3e65', datetime.datetime(2013, 11, 13, 18, 18, 37, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05CBD490>))"
HDFS-5502,"('fef8f49c5885ba05dcd73e8a02de7c2be5ec3f0e', datetime.datetime(2013, 11, 16, 1, 0, 42, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05CAA250>))"
HDFS-3987,"('3cae2ba63fe6f0765d860677a9bd9f1ea158c1c3', datetime.datetime(2013, 11, 20, 21, 51, 58, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05CD7210>))"
HDFS-5431,"('991c453ca3ac141a3f286f74af8401f83c38b230', datetime.datetime(2013, 12, 17, 18, 47, 4, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05D17010>))"
HDFS-5698,"('beb17701d7b18e22632c6e96267a2ed03f384bf7', datetime.datetime(2014, 2, 17, 23, 48, 39, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05DCC3D0>))"
HDFS-5810,"('beb0d25d2a7ba5004c6aabd105546ba9a9fec9be', datetime.datetime(2014, 2, 12, 19, 8, 52, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05DBC990>))"
HDFS-5318,"('2f341414dd4a052bee3907ff4a6db283a15f9d53', datetime.datetime(2014, 2, 19, 22, 59, 37, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05DD8510>))"
HDFS-5776,"('036af543873429529d01b2222c3b974d9f64a9fc', datetime.datetime(2014, 2, 24, 22, 34, 55, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05DE7490>))"
HDFS-5950,"('6465b0b55f263c06f4d37800db951adba314a9fd', datetime.datetime(2014, 3, 3, 4, 1, 26, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05E0D4D0>))"
HDFS-6134,"('2ca93d1fbf0fdcd6b4b5a151261052ac106ac9e1', datetime.datetime(2014, 8, 28, 19, 5, 57, tzinfo=<git.objects.util.tzoffset object at 0x0000018D06032E10>))"
HDFS-2006,"('2ad014a097c0b31e38ece0b7928c3544899b2611', datetime.datetime(2014, 6, 15, 14, 54, 36, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05F23050>))"
HDFS-2856,"('3b54223c0f32d42a84436c670d80b791a8e9696d', datetime.datetime(2014, 7, 14, 18, 10, 3, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05F75050>))"
HDFS-573,"('70d453602cfd6f2b3f109c5961d2338301fc950f', datetime.datetime(2014, 8, 8, 16, 26, 45, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05FE2F50>))"
HDFS-6581,"('5dbc8c9cb00da1ba55e1c94c4c1e19d34cf1bd5a', datetime.datetime(2015, 6, 16, 19, 5, 44, tzinfo=<git.objects.util.tzoffset object at 0x0000018D064C6190>))"
HDFS-6634,"('faa4455be512e070fa420084be8d1be5c72f3b08', datetime.datetime(2014, 9, 2, 14, 2, 29, tzinfo=<git.objects.util.tzoffset object at 0x0000018D06044510>))"
HDFS-6956,"('55302ccfba199ddf070119be30df06afd2511e05', datetime.datetime(2014, 9, 26, 10, 30, 30, tzinfo=<git.objects.util.tzoffset object at 0x0000018D060854D0>))"
HDFS-6982,"('dcb8e24427b02e2f3ff9a12d2eb1eb878e3443bb', datetime.datetime(2014, 11, 17, 17, 33, 42, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0607A010>))"
HDFS-3107,"('7e9358feb326d48b8c4f00249e7af5023cebd2e2', datetime.datetime(2015, 1, 12, 22, 50, 4, tzinfo=<git.objects.util.tzoffset object at 0x0000018D060864D0>))"
HDFS-3689,"('2848db814a98b83e7546f65a2751e56fb5b2dbe0', datetime.datetime(2015, 1, 27, 12, 58, 10, tzinfo=<git.objects.util.tzoffset object at 0x0000018D06078A50>))"
HDFS-8791,"('2c8496ebf3b7b31c2e18fdf8d4cb2a0115f43112', datetime.datetime(2016, 3, 1, 15, 4, 59, tzinfo=<git.objects.util.tzoffset object at 0x0000018D06792AD0>))"
HDFS-3702,"('8bd0bca0b1ea524132f564b3b8332506421f64b9', datetime.datetime(2016, 4, 27, 15, 37, 41, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0681AFD0>))"
HDFS-1312,"('6314843881b4c67d08215e60293f8b33242b9416', datetime.datetime(2016, 6, 23, 23, 0, 56, tzinfo=<git.objects.util.tzoffset object at 0x0000018D068C6390>))"
HDFS-6984,"('12e44e7bdaf53d3720a89d32f0cc2717241bd6b2', datetime.datetime(2017, 8, 2, 12, 12, 48, tzinfo=<git.objects.util.tzoffset object at 0x0000018D06D2B650>))"
HDFS-13224,"('e71bc00a471422ddb26dd54e706f09f0fe09925c', datetime.datetime(2018, 3, 15, 10, 32, 30, tzinfo=<git.objects.util.tzoffset object at 0x0000018D07F79010>))"
HDFS-14201,"('3ab77d9bc9eacfdb218b68988235a921c810b0d1', datetime.datetime(2019, 6, 18, 9, 58, 29, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0862A750>))"
HDFS-13616,"('c734d69a55693143d0aba2f7f5a793b11c8c50a5', datetime.datetime(2020, 3, 9, 14, 51, 16, tzinfo=<git.objects.util.tzoffset object at 0x0000018D086A5690>))"
HDFS-13183,"('9b38be43c6323077a7be14e1295ad484c4038372', datetime.datetime(2020, 5, 28, 13, 0, 4, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0869BFD0>))"
HDFS-13639,"('be374faf429d28561dd9c582f5c55451213d89a4', datetime.datetime(2020, 5, 21, 13, 21, 17, tzinfo=<git.objects.util.tzoffset object at 0x0000018D086A7D50>))"
HDFS-16016,"('15e1789bafb5ca16e6d4e24e8319b7303bbf8194', datetime.datetime(2024, 1, 20, 7, 51, 55, tzinfo=<git.objects.util.tzoffset object at 0x0000018D08E39B90>))"
HDFS-16262,"('94b884ae553e9d67f57e3ae7d2b22468c6f342fa', datetime.datetime(2022, 1, 25, 11, 42, 35, tzinfo=<git.objects.util.tzoffset object at 0x0000018D08A58F50>))"
HDFS-16463,"('d557c44d94abea080aa44b3035c480843b899a2d', datetime.datetime(2022, 6, 10, 9, 59, 7, tzinfo=<git.objects.util.tzoffset object at 0x0000018D08A62C50>))"
HDFS-13522,"('44b8bb7224f296c5202b3a8cbad937875b01a270', datetime.datetime(2022, 11, 7, 8, 43, 4, tzinfo=<git.objects.util.tzoffset object at 0x0000018D08A63450>))"
