Commit,Parents
0d005c52ae369f9281d0c0e9d23fe50ee77b6e83,"(['f22e332ddd6e4391110aed4e5d2583600ea37b36'], datetime.datetime(2010, 7, 26, 17, 54, 1, tzinfo=<git.objects.util.tzoffset object at 0x0000018D04BD5E50>))"
1035138b4c03ed26ce5be9fc4dd6f6c1e0af909b,"(['666a8e160035d60b7fd3634e4d703d8e28a1af6c'], datetime.datetime(2010, 8, 2, 21, 10, 21, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0534FE90>))"
f7c0c44de21710ccd1661be28749ed625e419429,"(['b1f806ab2c3422ffc07e21d6521fce1d3ac253f3'], datetime.datetime(2011, 6, 15, 21, 35, 33, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05097390>))"
1bcfe45e47775b98cce5541f328c4fd46e5eb13d,"(['1834fb99f516b2f2cd5e0ab1f89d407f98a7237a'], datetime.datetime(2011, 6, 28, 23, 43, 3, tzinfo=<git.objects.util.tzoffset object at 0x0000018D053F4290>))"
d58e3efe9269efe00c309ed0e9726d2f94bcd03a,"(['1bcfe45e47775b98cce5541f328c4fd46e5eb13d'], datetime.datetime(2011, 6, 28, 23, 57, 2, tzinfo=<git.objects.util.tzoffset object at 0x0000018D053F50D0>))"
c4f7d2f015475673f3a68fe53f333f7cd61757c2,"(['5dbd26f2c7ac7f08b20d41b0f89ab3500649783b'], datetime.datetime(2011, 7, 27, 19, 8, 52, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054276D0>))"
28e6a4e44a3e920dcaf858f9a74a6358226b3a63,"(['c58366acd1d09bc657594382b640d008e9b21ba7'], datetime.datetime(2011, 7, 29, 16, 28, 45, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054308D0>))"
4435aad09ddb1ec2a3a9d2d90e3c62253338fd1e,"(['8390152d08306caad31b78abbd509e5ea8580671'], datetime.datetime(2011, 7, 30, 19, 25, 24, tzinfo=<git.objects.util.tzoffset object at 0x0000018D04F29090>))"
218e96a4bfee7c0605c22ff69927550b78025fbe,"(['4435aad09ddb1ec2a3a9d2d90e3c62253338fd1e', '703b5f412c884676335628cd5dd1149d2000606d'], datetime.datetime(2011, 8, 4, 17, 9, 14, tzinfo=<git.objects.util.tzoffset object at 0x0000018D08E73710>))"
57213dbcb54ad8fee7f651c8efea00d9518cf13f,"(['218e96a4bfee7c0605c22ff69927550b78025fbe'], datetime.datetime(2011, 8, 4, 17, 23, 57, tzinfo=<git.objects.util.tzoffset object at 0x0000018D08A635D0>))"
05c24937cfdfc19afbcf50face41447144796dfc,"(['57213dbcb54ad8fee7f651c8efea00d9518cf13f'], datetime.datetime(2011, 8, 4, 17, 24, 57, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05432D50>))"
3f85da7aa9f649c874d71f4d742a1e412bb98855,"(['05c24937cfdfc19afbcf50face41447144796dfc'], datetime.datetime(2011, 8, 4, 17, 26, 12, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05433790>))"
bed349526350d20443cc505977cd8eebe7fe03da,"(['3f85da7aa9f649c874d71f4d742a1e412bb98855'], datetime.datetime(2011, 8, 4, 18, 58, 44, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05432F50>))"
53190cfa1d43762e463bcb957929097742db08ba,"(['924ed1366436c0f981361fcdf744099f42da0021'], datetime.datetime(2011, 8, 4, 20, 22, 13, tzinfo=<git.objects.util.tzoffset object at 0x0000018D08E737D0>))"
7fac946ac983e31613fd62836c8ac9c4a579210a,"(['23762da4fa17ce6ea7b70722147977123a28a7e6'], datetime.datetime(2011, 8, 4, 22, 55, 48, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05432DD0>))"
9145ab5887e7528c0428fabca4208a1786e408f4,"(['bed349526350d20443cc505977cd8eebe7fe03da'], datetime.datetime(2011, 8, 5, 1, 34, 32, tzinfo=<git.objects.util.tzoffset object at 0x0000018D08A62F10>))"
f0ecbd0043dcc7a437a24f422d76f37a7f8c2622,"(['9145ab5887e7528c0428fabca4208a1786e408f4'], datetime.datetime(2011, 8, 5, 23, 4, 24, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0543D450>))"
73f2092b7351b9cc13d0e12bc4ade6c470934ee8,"(['f0ecbd0043dcc7a437a24f422d76f37a7f8c2622'], datetime.datetime(2011, 8, 11, 0, 44, 5, tzinfo=<git.objects.util.tzoffset object at 0x0000018D04F162D0>))"
95ecc91463a87587d83f5c3159a1ff6565dc73cb,"(['73f2092b7351b9cc13d0e12bc4ade6c470934ee8'], datetime.datetime(2011, 8, 11, 0, 48, 16, tzinfo=<git.objects.util.tzoffset object at 0x0000018D04F16D10>))"
c65a01ea12e8b500bf9d06c1dd9cfcc03bd24c2a,"(['95ecc91463a87587d83f5c3159a1ff6565dc73cb', 'e5508496dcf809370d4d8532ef2be7a4025bde21'], datetime.datetime(2011, 8, 16, 0, 37, 15, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0321F6D0>))"
d86f3183d93714ba078416af4f609d26376eadb0,"(['6ee5a73e0e91a2ef27753a32c576835e951d8119'], datetime.datetime(2011, 8, 19, 17, 36, 23, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054559D0>))"
b0ea4b71c9c16281fd99a919dd8b1928eba5d08b,"(['c65a01ea12e8b500bf9d06c1dd9cfcc03bd24c2a', 'f6d24536ba9e283a1a918531bfdc2786801fa1d3'], datetime.datetime(2011, 8, 19, 20, 47, 40, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05455F90>))"
522fe14a89a1d6f0d32963643529e7d6e26d5b9b,"(['e6339be188d3f5c94df3b092d92d201b728163f5'], datetime.datetime(2011, 8, 26, 4, 16, 20, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054669D0>))"
73451ed2d9fb5eb228d80ad5f3be302a60496527,"(['e680023f8b158db25b45a050236163e9246103f3'], datetime.datetime(2011, 8, 26, 4, 46, 42, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054665D0>))"
5116ea448720cc8b2b6a955db5cf1e6811494401,"(['b0ea4b71c9c16281fd99a919dd8b1928eba5d08b', 'd8c3e63dced54e1453d46abe51eb2941768aa4f3'], datetime.datetime(2011, 8, 26, 22, 46, 17, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054641D0>))"
bdc3720d5b67a1c8fc2dfb29be16e4155c0e7f15,"(['e20f135174e6e2bf64e9cb5553425e1c0b830b58'], datetime.datetime(2011, 9, 6, 20, 27, 38, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054793D0>))"
1d6793d0b7e26a792507a458cbe4b298ad84881e,"(['0ecba04727b5c31182d29511646c8d3e6441300f'], datetime.datetime(2011, 9, 7, 6, 5, 4, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0547A7D0>))"
d10631f7287798141bd0978d40d8cbdfc6307742,"(['5116ea448720cc8b2b6a955db5cf1e6811494401', '8b9a2c7487a1e22176cd2d5c581cc4747fe8593c'], datetime.datetime(2011, 9, 8, 1, 39, 7, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05480050>))"
